,topic,words
0,topicBattery,"('batter', 0.8385072946548462)"
1,topicBattery,"('recharge', 0.7121323943138123)"
2,topicBattery,"('hold_charge', 0.6900701522827148)"
3,topicBattery,"('fully_charge', 0.6697956919670105)"
4,topicBattery,"('charging', 0.6550784707069397)"
5,topicBattery,"('stay_charge', 0.6508821845054626)"
6,topicBattery,"('drain_completely', 0.6489512920379639)"
7,topicBattery,"('battery_pack', 0.648054838180542)"
8,topicBattery,"('spare_battery', 0.6406341791152954)"
9,topicBattery,"('percent', 0.6394323110580444)"
10,topicScreen,"('display', 0.8289474248886108)"
11,topicScreen,"('lcd_screen', 0.718432605266571)"
12,topicScreen,"('lcd', 0.6646578907966614)"
13,topicScreen,"('lcd_display', 0.6601341366767883)"
14,topicScreen,"('portion_screen', 0.6588773727416992)"
15,topicScreen,"('dot', 0.6462357640266418)"
16,topicScreen,"('inch', 0.6074090003967285)"
17,topicScreen,"('pixel', 0.6016424298286438)"
18,topicScreen,"('bright_colorful', 0.5976179242134094)"
19,topicScreen,"('hand_corner', 0.5961760878562927)"
20,topicVolume,"('speaker_volume', 0.8298492431640625)"
21,topicVolume,"('max_volume', 0.8220248222351074)"
22,topicVolume,"('volume_low', 0.8184170722961426)"
23,topicVolume,"('ringer_volume', 0.812552809715271)"
24,topicVolume,"('ring_volume', 0.7987669706344604)"
25,topicVolume,"('volume_loud', 0.7944828271865845)"
26,topicVolume,"('loud', 0.7826566696166992)"
27,topicVolume,"('low_volume', 0.7808669805526733)"
28,topicVolume,"('speaker', 0.7763445377349854)"
29,topicVolume,"('louder', 0.7652433514595032)"
30,topicMemory,"('internal_memory', 0.8940706253051758)"
31,topicMemory,"('storage', 0.8633328676223755)"
32,topicMemory,"('storage_space', 0.8557073473930359)"
33,topicMemory,"('internal_storage', 0.816781759262085)"
34,topicMemory,"('space', 0.812751054763794)"
35,topicMemory,"('internal_space', 0.7972350716590881)"
36,topicMemory,"('lack_memory', 0.7849549651145935)"
37,topicMemory,"('limited_storage', 0.7762482762336731)"
38,topicMemory,"('run_room', 0.7717021107673645)"
39,topicMemory,"('gig', 0.7658150792121887)"
40,topicReturnPolicy,"('return_period', 0.8444395661354065)"
41,topicReturnPolicy,"('return_window', 0.7650529742240906)"
42,topicReturnPolicy,"('refund_replacement', 0.7348284721374512)"
43,topicReturnPolicy,"('warranty_period', 0.7240365147590637)"
44,topicReturnPolicy,"('late_return', 0.7157655358314514)"
45,topicReturnPolicy,"('period', 0.7048581838607788)"
46,topicReturnPolicy,"('seller_refuse', 0.6961733102798462)"
47,topicReturnPolicy,"('answer_sorry', 0.6953839659690857)"
48,topicReturnPolicy,"('return_item', 0.6932134032249451)"
49,topicReturnPolicy,"('request_refund', 0.691900908946991)"
50,topicCustomerService,"('customer_support', 0.8075860738754272)"
51,topicCustomerService,"('tech_support', 0.7394696474075317)"
52,topicCustomerService,"('representative', 0.7262181043624878)"
53,topicCustomerService,"('customer_care', 0.7216514348983765)"
54,topicCustomerService,"('cs', 0.7060465216636658)"
55,topicCustomerService,"('supervisor', 0.7050400972366333)"
56,topicCustomerService,"('amazon_customer', 0.6960629820823669)"
57,topicCustomerService,"('technical_support', 0.6874696016311646)"
58,topicCustomerService,"('costumer_service', 0.6863548159599304)"
59,topicCustomerService,"('agent', 0.6855602264404297)"
60,topicValue,"('value_money', 0.803929328918457)"
61,topicValue,"('number_-$_number', 0.7571104764938354)"
62,topicValue,"('pricing', 0.7486847639083862)"
63,topicValue,"('bargain', 0.7419673204421997)"
64,topicValue,"('price_point', 0.728007972240448)"
65,topicValue,"('price_tag', 0.7270025014877319)"
66,topicValue,"('bang_buck', 0.7142771482467651)"
67,topicValue,"('low_price', 0.705478847026825)"
68,topicValue,"('~$_NUMBER', 0.6928614377975464)"
69,topicValue,"('consider_price', 0.6908287405967712)"
70,topicDurable,"('sturdy', 0.808482825756073)"
71,topicDurable,"('beating', 0.766838550567627)"
72,topicDurable,"('construction', 0.7593785524368286)"
73,topicDurable,"('rugge', 0.7448661923408508)"
74,topicDurable,"('pretty_durable', 0.7197909951210022)"
75,topicDurable,"('rugged', 0.7192773818969727)"
76,topicDurable,"('slippery', 0.694169819355011)"
77,topicDurable,"('prone_drop', 0.6939709186553955)"
78,topicDurable,"('tough', 0.6919742226600647)"
79,topicDurable,"('resistant', 0.6748243570327759)"
80,topicNetwork,"('mobile_network', 0.8072759509086609)"
81,topicNetwork,"('cellular_network', 0.8033533096313477)"
82,topicNetwork,"('at&t_network', 0.8031944036483765)"
83,topicNetwork,"('tower', 0.7907216548919678)"
84,topicNetwork,"('verizon_sprint', 0.75833660364151)"
85,topicNetwork,"('at&t_tower', 0.7516269683837891)"
86,topicNetwork,"('datum_network', 0.7420166730880737)"
87,topicNetwork,"('gsm_network', 0.7374318242073059)"
88,topicNetwork,"('apn', 0.735704243183136)"
89,topicNetwork,"('att_tmobile', 0.7232549786567688)"
90,topicPhoneFreeze,"('constantly_freeze', 0.8713025450706482)"
91,topicPhoneFreeze,"('keep_freeze', 0.8451434373855591)"
92,topicPhoneFreeze,"('freeze_time', 0.8393394947052002)"
93,topicPhoneFreeze,"('randomly_start', 0.8323791027069092)"
94,topicPhoneFreeze,"('freeze_constantly', 0.8124805688858032)"
95,topicPhoneFreeze,"('randomly_freeze', 0.8098799586296082)"
96,topicPhoneFreeze,"('restart', 0.8091827630996704)"
97,topicPhoneFreeze,"('force_close', 0.8039824962615967)"
98,topicPhoneFreeze,"('freeze_lot', 0.8008521795272827)"
99,topicPhoneFreeze,"('app_crash', 0.7936158776283264)"
100,topicPhoneCamera,"('picture_quality', 0.8430348038673401)"
101,topicPhoneCamera,"('selfie_camera', 0.8275457620620728)"
102,topicPhoneCamera,"('rear_camera', 0.8239395618438721)"
103,topicPhoneCamera,"('photo_quality', 0.8236026167869568)"
104,topicPhoneCamera,"('low_light', 0.8203341960906982)"
105,topicPhoneCamera,"('cam', 0.8125869035720825)"
106,topicPhoneCamera,"('main_camera', 0.8045816421508789)"
107,topicPhoneCamera,"('camera_quality', 0.8021900653839111)"
108,topicPhoneCamera,"('auto_focus', 0.8016969561576843)"
109,topicPhoneCamera,"('face_camera', 0.8000488877296448)"
110,topicDesign,"('premium_feel', 0.7370101809501648)"
111,topicDesign,"('feel_hand', 0.7172837853431702)"
112,topicDesign,"('overall_design', 0.711797297000885)"
113,topicDesign,"('ergonomic', 0.7039782404899597)"
114,topicDesign,"('hand_feel', 0.6976684927940369)"
115,topicDesign,"('curve_edge', 0.6918704509735107)"
116,topicDesign,"('unique', 0.6849719882011414)"
117,topicDesign,"('aesthetic', 0.6825637817382812)"
118,topicDesign,"('feel_premium', 0.6756966710090637)"
119,topicDesign,"('aspect', 0.6623532772064209)"
120,topicInterface,"('interface', 0.8260296583175659)"
121,topicInterface,"('ui', 0.8191663026809692)"
122,topicInterface,"('customizable', 0.810791015625)"
123,topicInterface,"('samsung_touchwiz', 0.8019399642944336)"
124,topicInterface,"('apple_io', 0.7777483463287354)"
125,topicInterface,"('android_experience', 0.7727770805358887)"
126,topicInterface,"('simplistic', 0.7592988014221191)"
127,topicInterface,"('customization', 0.7542176246643066)"
128,topicInterface,"('android_skin', 0.75393146276474)"
129,topicInterface,"('htc_sense', 0.734430193901062)"
130,topicSecurity,"('encryption', 0.7441861033439636)"
131,topicSecurity,"('authentication', 0.6731328368186951)"
132,topicSecurity,"('incorporate', 0.6660221815109253)"
133,topicSecurity,"('encrypt', 0.6600859761238098)"
134,topicSecurity,"('security_swipe', 0.6564584970474243)"
135,topicSecurity,"('ie', 0.6462996602058411)"
136,topicSecurity,"('create', 0.634717583656311)"
137,topicSecurity,"('native_app', 0.6269752979278564)"
138,topicSecurity,"('app_tray', 0.622941792011261)"
139,topicSecurity,"('enable', 0.6227651834487915)"
